# AmiraMesh 3D ASCII 2.0
# CreationDate: Mon Apr 21 13:33:26 2008


define Markers 439

Parameters {
    NumSets 2,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Coordinates2 } @2

# Data section follows
@1
55.519763150283666	12.081723397412752	-531.634046397078
51.49679666865612	24.874058346532447	-523.8002183680783
-0.6433049309155727	-17.289039509930227	-463.51196447414816
-14.447749727749482	-79.19391002479207	-537.6290489036717
-16.65375863781442	-77.78960581990027	-522.3406889917107
-17.528410608109905	-73.72947943706329	-506.4968338915669
-17.36796989259714	-68.60926464168094	-494.9025929631969
-16.660452820331876	-59.16613526898736	-482.53617442966925
-27.681668620607354	-77.97908449852464	-544.1748929503649
-28.514877708808594	-75.98700725057282	-532.6211081090971
-28.499562955202116	-73.94484298726833	-519.0878488550412
-29.435077905583537	-70.36493131118465	-505.37853526492876
-30.2779194126947	-64.4349181213638	-493.1102896955958
-40.02527834750454	-72.93691368146148	-545.2807775366713
-40.019916754377164	-71.78845629764947	-530.0848855803645
-42.64259460203125	-67.91199861246514	-515.2964494824964
-43.34283385675131	-61.96813237248237	-498.71959623147285
-18.982619491860333	-46.313135769279086	-473.93376859738015
-19.571289979400824	-32.85388464027701	-466.93596546768447
-31.43693572834971	-54.43007092536894	-481.821154740349
-31.547557098212074	-40.540615256714005	-472.4058206205842
-33.15044527650659	-27.640579273870333	-468.0474797876465
-31.374560152790494	-9.955568274355898	-464.27629738799794
-44.26303911159346	-51.87600796426317	-485.87039111424724
-45.17565463809508	-37.49864308970457	-476.2704126734933
-45.62360945065453	-20.79780528897378	-472.07223660710434
-45.4290875813072	-1.692191091909308	-469.9333540607282
-51.6808078267983	-65.19198601477498	-550.4727712161886
-53.69248913103412	-64.15572479193811	-537.5428293071884
-54.908484390153305	-61.91467358468361	-525.1846664347418
-56.25543165586102	-58.14040864635807	-512.1521074265504
-59.0728856384664	-49.90593892529593	-498.6543614059465
-58.79541169671883	-41.74265402859272	-489.4443334194113
-58.8586287994234	-28.828612084195424	-482.85561123089303
-56.96965484577662	-15.027539040924626	-479.48459599717705
-55.67738147246379	3.077879302924135	-479.55572423145514
-59.960727125504235	-55.562698004556935	-554.5118858410215
-62.77300123721429	-54.398670759825706	-540.7478272711285
-65.33107563065441	-50.986922791392004	-528.199215683598
-67.46042748751186	-47.689517552273585	-516.5578351447957
-69.37737951065304	-40.1884967693206	-503.67470480019654
-68.18858063960062	-28.24668341221494	-494.78134106681154
-65.32515939933239	-9.901420770148443	-491.29561177021515
-61.526268223477274	11.21181165171673	-491.1289379200684
